Timestamp,nWifi,RngRun,FlowSrc,Throughput
2020-06-13 07:05,2,1,192.168.1.1,59.8334
2020-06-13 07:05,2,1,192.168.1.2,61.982
2020-06-13 07:06,4,1,192.168.1.1,27.0701
2020-06-13 07:06,4,1,192.168.1.2,27.8097
2020-06-13 07:06,4,1,192.168.1.3,26.2938
2020-06-13 07:06,4,1,192.168.1.4,25.932
2020-06-13 07:07,6,1,192.168.1.1,18.4659
2020-06-13 07:07,6,1,192.168.1.2,16.4394
2020-06-13 07:07,6,1,192.168.1.3,13.5885
2020-06-13 07:07,6,1,192.168.1.4,16.7343
2020-06-13 07:07,6,1,192.168.1.5,15.7654
2020-06-13 07:07,6,1,192.168.1.6,15.7291
2020-06-13 07:08,8,1,192.168.1.1,14.8123
2020-06-13 07:08,8,1,192.168.1.2,13.0494
2020-06-13 07:08,8,1,192.168.1.3,8.07918
2020-06-13 07:08,8,1,192.168.1.4,13.0563
2020-06-13 07:08,8,1,192.168.1.5,12.7689
2020-06-13 07:08,8,1,192.168.1.6,11.5211
2020-06-13 07:08,8,1,192.168.1.7,8.60681
2020-06-13 07:08,8,1,192.168.1.8,6.8261
2020-06-13 07:09,10,1,192.168.1.1,7.78229
2020-06-13 07:09,10,1,192.168.1.2,10.4598
2020-06-13 07:09,10,1,192.168.1.3,10.3155
2020-06-13 07:09,10,1,192.168.1.4,8.65633
2020-06-13 07:09,10,1,192.168.1.5,7.86976
2020-06-13 07:09,10,1,192.168.1.6,8.70592
2020-06-13 07:09,10,1,192.168.1.7,8.31544
2020-06-13 07:09,10,1,192.168.1.8,7.20868
2020-06-13 07:09,10,1,192.168.1.9,5.44147
2020-06-13 07:09,10,1,192.168.1.10,9.58191
2020-06-13 07:10,2,2,192.168.1.1,60.1008
2020-06-13 07:10,2,2,192.168.1.2,61.7233
2020-06-13 07:10,4,2,192.168.1.1,25.3525
2020-06-13 07:10,4,2,192.168.1.2,25.6144
2020-06-13 07:10,4,2,192.168.1.3,29.9564
2020-06-13 07:10,4,2,192.168.1.4,25.5018
2020-06-13 07:11,6,2,192.168.1.1,14.0199
2020-06-13 07:11,6,2,192.168.1.2,15.8707
2020-06-13 07:11,6,2,192.168.1.3,17.9017
2020-06-13 07:11,6,2,192.168.1.4,15.7799
2020-06-13 07:11,6,2,192.168.1.5,18.1166
2020-06-13 07:11,6,2,192.168.1.6,17.4354
2020-06-13 07:12,8,2,192.168.1.1,15.0243
2020-06-13 07:12,8,2,192.168.1.2,14.2611
2020-06-13 07:12,8,2,192.168.1.3,14.4875
2020-06-13 07:12,8,2,192.168.1.4,14.8829
2020-06-13 07:12,8,2,192.168.1.5,13.2275
2020-06-13 07:12,8,2,192.168.1.6,-0
2020-06-13 07:12,8,2,192.168.1.7,10.2822
2020-06-13 07:12,8,2,192.168.1.8,14.0351
2020-06-13 07:13,10,2,192.168.1.1,10.4956
2020-06-13 07:13,10,2,192.168.1.2,12.659
2020-06-13 07:13,10,2,192.168.1.3,9.66104
2020-06-13 07:13,10,2,192.168.1.4,10.4994
2020-06-13 07:13,10,2,192.168.1.5,7.31465
2020-06-13 07:13,10,2,192.168.1.6,10.659
2020-06-13 07:13,10,2,192.168.1.7,10.165
2020-06-13 07:13,10,2,192.168.1.8,-0
2020-06-13 07:13,10,2,192.168.1.9,11.186
2020-06-13 07:13,10,2,192.168.1.10,11.803
2020-06-13 07:14,2,3,192.168.1.1,62.0137
2020-06-13 07:14,2,3,192.168.1.2,59.6229
2020-06-13 07:15,4,3,192.168.1.1,27.1399
2020-06-13 07:15,4,3,192.168.1.2,26.7284
2020-06-13 07:15,4,3,192.168.1.3,26.3966
2020-06-13 07:15,4,3,192.168.1.4,27.4535
2020-06-13 07:16,6,3,192.168.1.1,17.4591
2020-06-13 07:16,6,3,192.168.1.2,16.1717
2020-06-13 07:16,6,3,192.168.1.3,14.6045
2020-06-13 07:16,6,3,192.168.1.4,17.1157
2020-06-13 07:16,6,3,192.168.1.5,17.1121
2020-06-13 07:16,6,3,192.168.1.6,14.983
2020-06-13 07:17,8,3,192.168.1.1,11.1986
2020-06-13 07:17,8,3,192.168.1.2,11.3659
2020-06-13 07:17,8,3,192.168.1.3,12.9051
2020-06-13 07:17,8,3,192.168.1.4,11.3463
2020-06-13 07:17,8,3,192.168.1.5,10.6772
2020-06-13 07:17,8,3,192.168.1.6,11.6266
2020-06-13 07:17,8,3,192.168.1.7,14.0878
2020-06-13 07:17,8,3,192.168.1.8,8.30322
2020-06-13 07:18,10,3,192.168.1.1,7.15207
2020-06-13 07:18,10,3,192.168.1.2,8.48774
2020-06-13 07:18,10,3,192.168.1.3,7.99225
2020-06-13 07:18,10,3,192.168.1.4,5.31575
2020-06-13 07:18,10,3,192.168.1.5,10.4806
2020-06-13 07:18,10,3,192.168.1.6,7.92255
2020-06-13 07:18,10,3,192.168.1.7,11.673
2020-06-13 07:18,10,3,192.168.1.8,13.1105
2020-06-13 07:18,10,3,192.168.1.9,11.0315
2020-06-13 07:18,10,3,192.168.1.10,6.7929
2020-06-13 07:19,2,4,192.168.1.1,61.3333
2020-06-13 07:19,2,4,192.168.1.2,60.6884
2020-06-13 07:20,4,4,192.168.1.1,24.3653
2020-06-13 07:20,4,4,192.168.1.2,29.7932
2020-06-13 07:20,4,4,192.168.1.3,26.2693
2020-06-13 07:20,4,4,192.168.1.4,27.5565
2020-06-13 07:21,6,4,192.168.1.1,9.07677
2020-06-13 07:21,6,4,192.168.1.2,16.9988
2020-06-13 07:21,6,4,192.168.1.3,19.7172
2020-06-13 07:21,6,4,192.168.1.4,15.9148
2020-06-13 07:21,6,4,192.168.1.5,18.0107
2020-06-13 07:21,6,4,192.168.1.6,18.3295
2020-06-13 07:22,8,4,192.168.1.1,10.0855
2020-06-13 07:22,8,4,192.168.1.2,9.96235
2020-06-13 07:22,8,4,192.168.1.3,12.7366
2020-06-13 07:22,8,4,192.168.1.4,11.3475
2020-06-13 07:22,8,4,192.168.1.5,8.8604
2020-06-13 07:22,8,4,192.168.1.6,14.1139
2020-06-13 07:22,8,4,192.168.1.7,10.8177
2020-06-13 07:22,8,4,192.168.1.8,12.6242
2020-06-13 07:23,10,4,192.168.1.1,7.52668
2020-06-13 07:23,10,4,192.168.1.2,8.627
2020-06-13 07:23,10,4,192.168.1.3,11.6709
2020-06-13 07:23,10,4,192.168.1.4,8.77063
2020-06-13 07:23,10,4,192.168.1.5,9.79359
2020-06-13 07:23,10,4,192.168.1.6,10.7357
2020-06-13 07:23,10,4,192.168.1.7,8.43918
2020-06-13 07:23,10,4,192.168.1.8,6.79775
2020-06-13 07:23,10,4,192.168.1.9,9.96973
2020-06-13 07:23,10,4,192.168.1.10,11.3739
2020-06-13 07:24,2,5,192.168.1.1,61.5672
2020-06-13 07:24,2,5,192.168.1.2,60.5231
2020-06-13 07:24,4,5,192.168.1.1,25.8686
2020-06-13 07:24,4,5,192.168.1.2,28.4398
2020-06-13 07:24,4,5,192.168.1.3,27.9065
2020-06-13 07:24,4,5,192.168.1.4,26.892
2020-06-13 07:25,6,5,192.168.1.1,17.3782
2020-06-13 07:25,6,5,192.168.1.2,14.9824
2020-06-13 07:25,6,5,192.168.1.3,16.9903
2020-06-13 07:25,6,5,192.168.1.4,14.205
2020-06-13 07:25,6,5,192.168.1.5,15.9469
2020-06-13 07:25,6,5,192.168.1.6,15.3504
2020-06-13 07:26,8,5,192.168.1.1,13.5339
2020-06-13 07:26,8,5,192.168.1.2,14.5595
2020-06-13 07:26,8,5,192.168.1.3,13.4407
2020-06-13 07:26,8,5,192.168.1.4,13.8237
2020-06-13 07:26,8,5,192.168.1.5,-0
2020-06-13 07:26,8,5,192.168.1.6,12.8626
2020-06-13 07:26,8,5,192.168.1.7,12.621
2020-06-13 07:26,8,5,192.168.1.8,11.3368
2020-06-13 07:27,10,5,192.168.1.1,12.5127
2020-06-13 07:27,10,5,192.168.1.2,11.315
2020-06-13 07:27,10,5,192.168.1.3,7.72236
2020-06-13 07:27,10,5,192.168.1.4,-0
2020-06-13 07:27,10,5,192.168.1.5,9.99323
2020-06-13 07:27,10,5,192.168.1.6,5.81922
2020-06-13 07:27,10,5,192.168.1.7,8.52963
2020-06-13 07:27,10,5,192.168.1.8,11.7809
2020-06-13 07:27,10,5,192.168.1.9,10.5041
2020-06-13 07:27,10,5,192.168.1.10,11.6498
2020-06-13 07:28,2,6,192.168.1.1,60.2792
2020-06-13 07:28,2,6,192.168.1.2,61.0745
2020-06-13 07:29,4,6,192.168.1.1,26.9688
2020-06-13 07:29,4,6,192.168.1.2,27.525
2020-06-13 07:29,4,6,192.168.1.3,27.0059
2020-06-13 07:29,4,6,192.168.1.4,25.3162
2020-06-13 07:30,6,6,192.168.1.1,18.1637
2020-06-13 07:30,6,6,192.168.1.2,14.3013
2020-06-13 07:30,6,6,192.168.1.3,19.4179
2020-06-13 07:30,6,6,192.168.1.4,13.5211
2020-06-13 07:30,6,6,192.168.1.5,12.8948
2020-06-13 07:30,6,6,192.168.1.6,16.8441
2020-06-13 07:31,8,6,192.168.1.1,10.7975
2020-06-13 07:31,8,6,192.168.1.2,13.0019
2020-06-13 07:31,8,6,192.168.1.3,12.2852
2020-06-13 07:31,8,6,192.168.1.4,14.8565
2020-06-13 07:31,8,6,192.168.1.5,10.3142
2020-06-13 07:31,8,6,192.168.1.6,7.13528
2020-06-13 07:31,8,6,192.168.1.7,13.0207
2020-06-13 07:31,8,6,192.168.1.8,11.2847
2020-06-13 07:32,10,6,192.168.1.1,11.1599
2020-06-13 07:32,10,6,192.168.1.2,11.0265
2020-06-13 07:32,10,6,192.168.1.3,-0
2020-06-13 07:32,10,6,192.168.1.4,9.6263
2020-06-13 07:32,10,6,192.168.1.5,9.62849
2020-06-13 07:32,10,6,192.168.1.6,8.74083
2020-06-13 07:32,10,6,192.168.1.7,11.5678
2020-06-13 07:32,10,6,192.168.1.8,9.94952
2020-06-13 07:32,10,6,192.168.1.9,10.1391
2020-06-13 07:32,10,6,192.168.1.10,10.2951
2020-06-13 07:33,2,7,192.168.1.1,61.3513
2020-06-13 07:33,2,7,192.168.1.2,60.3671
2020-06-13 07:34,4,7,192.168.1.1,27.1258
2020-06-13 07:34,4,7,192.168.1.2,27.9299
2020-06-13 07:34,4,7,192.168.1.3,24.6611
2020-06-13 07:34,4,7,192.168.1.4,29.4007
2020-06-13 07:35,6,7,192.168.1.1,15.237
2020-06-13 07:35,6,7,192.168.1.2,12.9939
2020-06-13 07:35,6,7,192.168.1.3,15.7474
2020-06-13 07:35,6,7,192.168.1.4,16.0622
2020-06-13 07:35,6,7,192.168.1.5,18.1106
2020-06-13 07:35,6,7,192.168.1.6,17.9462
2020-06-13 07:36,8,7,192.168.1.1,14.0193
2020-06-13 07:36,8,7,192.168.1.2,10.9335
2020-06-13 07:36,8,7,192.168.1.3,11.3018
2020-06-13 07:36,8,7,192.168.1.4,14.4968
2020-06-13 07:36,8,7,192.168.1.5,10.4676
2020-06-13 07:36,8,7,192.168.1.6,10.1381
2020-06-13 07:36,8,7,192.168.1.7,11.4743
2020-06-13 07:36,8,7,192.168.1.8,7.98038
2020-06-13 07:37,10,7,192.168.1.1,8.30314
2020-06-13 07:37,10,7,192.168.1.2,12.3178
2020-06-13 07:37,10,7,192.168.1.3,12.16
2020-06-13 07:37,10,7,192.168.1.4,11.072
2020-06-13 07:37,10,7,192.168.1.5,-0
2020-06-13 07:37,10,7,192.168.1.6,10.9142
2020-06-13 07:37,10,7,192.168.1.7,8.09093
2020-06-13 07:37,10,7,192.168.1.8,6.62415
2020-06-13 07:37,10,7,192.168.1.9,8.47664
2020-06-13 07:37,10,7,192.168.1.10,9.18308
2020-06-13 07:37,2,8,192.168.1.1,61.4637
2020-06-13 07:37,2,8,192.168.1.2,60.0231
2020-06-13 07:38,4,8,192.168.1.1,28.7714
2020-06-13 07:38,4,8,192.168.1.2,27.4139
2020-06-13 07:38,4,8,192.168.1.3,24.3407
2020-06-13 07:38,4,8,192.168.1.4,26.2709
2020-06-13 07:39,6,8,192.168.1.1,15.8321
2020-06-13 07:39,6,8,192.168.1.2,11.2744
2020-06-13 07:39,6,8,192.168.1.3,14.6934
2020-06-13 07:39,6,8,192.168.1.4,19.7744
2020-06-13 07:39,6,8,192.168.1.5,16.5391
2020-06-13 07:39,6,8,192.168.1.6,19.975
2020-06-13 07:40,8,8,192.168.1.1,12.8815
2020-06-13 07:40,8,8,192.168.1.2,10.4676
2020-06-13 07:40,8,8,192.168.1.3,13.8606
2020-06-13 07:40,8,8,192.168.1.4,15.913
2020-06-13 07:40,8,8,192.168.1.5,11.1645
2020-06-13 07:40,8,8,192.168.1.6,-0
2020-06-13 07:40,8,8,192.168.1.7,14.159
2020-06-13 07:40,8,8,192.168.1.8,15.2217
2020-06-13 07:41,10,8,192.168.1.1,11.5344
2020-06-13 07:41,10,8,192.168.1.2,7.77131
2020-06-13 07:41,10,8,192.168.1.3,-0
2020-06-13 07:41,10,8,192.168.1.4,13.0464
2020-06-13 07:41,10,8,192.168.1.5,8.13106
2020-06-13 07:41,10,8,192.168.1.6,9.96746
2020-06-13 07:41,10,8,192.168.1.7,10.4481
2020-06-13 07:41,10,8,192.168.1.8,11.0211
2020-06-13 07:41,10,8,192.168.1.9,8.49676
2020-06-13 07:41,10,8,192.168.1.10,9.41018
2020-06-13 07:42,2,9,192.168.1.1,61.5592
2020-06-13 07:42,2,9,192.168.1.2,59.9794
2020-06-13 07:43,4,9,192.168.1.1,36.7027
2020-06-13 07:43,4,9,192.168.1.2,-0
2020-06-13 07:43,4,9,192.168.1.3,37.9788
2020-06-13 07:43,4,9,192.168.1.4,37.6049
2020-06-13 07:44,6,9,192.168.1.1,18.526
2020-06-13 07:44,6,9,192.168.1.2,14.854
2020-06-13 07:44,6,9,192.168.1.3,16.5224
2020-06-13 07:44,6,9,192.168.1.4,14.9205
2020-06-13 07:44,6,9,192.168.1.5,15.081
2020-06-13 07:44,6,9,192.168.1.6,15.4268
2020-06-13 07:45,8,9,192.168.1.1,14.8795
2020-06-13 07:45,8,9,192.168.1.2,9.44067
2020-06-13 07:45,8,9,192.168.1.3,13.322
2020-06-13 07:45,8,9,192.168.1.4,-0
2020-06-13 07:45,8,9,192.168.1.5,15.3174
2020-06-13 07:45,8,9,192.168.1.6,14.5565
2020-06-13 07:45,8,9,192.168.1.7,14.068
2020-06-13 07:45,8,9,192.168.1.8,12.7443
2020-06-13 07:46,10,9,192.168.1.1,8.98384
2020-06-13 07:46,10,9,192.168.1.2,11.531
2020-06-13 07:46,10,9,192.168.1.3,8.79392
2020-06-13 07:46,10,9,192.168.1.4,9.35288
2020-06-13 07:46,10,9,192.168.1.5,1.67464
2020-06-13 07:46,10,9,192.168.1.6,11.3998
2020-06-13 07:46,10,9,192.168.1.7,7.21705
2020-06-13 07:46,10,9,192.168.1.8,8.86294
2020-06-13 07:46,10,9,192.168.1.9,8.0606
2020-06-13 07:46,10,9,192.168.1.10,11.5917
2020-06-13 07:47,2,10,192.168.1.1,61.0009
2020-06-13 07:47,2,10,192.168.1.2,60.0326
2020-06-13 07:48,4,10,192.168.1.1,28.1227
2020-06-13 07:48,4,10,192.168.1.2,25.6229
2020-06-13 07:48,4,10,192.168.1.3,26.5008
2020-06-13 07:48,4,10,192.168.1.4,24.8447
2020-06-13 07:48,6,10,192.168.1.1,15.9681
2020-06-13 07:48,6,10,192.168.1.2,16.9051
2020-06-13 07:48,6,10,192.168.1.3,15.8573
2020-06-13 07:48,6,10,192.168.1.4,15.3404
2020-06-13 07:48,6,10,192.168.1.5,19.6576
2020-06-13 07:48,6,10,192.168.1.6,13.3686
2020-06-13 07:49,8,10,192.168.1.1,11.9932
2020-06-13 07:49,8,10,192.168.1.2,10.2393
2020-06-13 07:49,8,10,192.168.1.3,9.91322
2020-06-13 07:49,8,10,192.168.1.4,16.0557
2020-06-13 07:49,8,10,192.168.1.5,8.53037
2020-06-13 07:49,8,10,192.168.1.6,10.8367
2020-06-13 07:49,8,10,192.168.1.7,10.3822
2020-06-13 07:49,8,10,192.168.1.8,11.481
2020-06-13 07:51,10,10,192.168.1.1,5.15147
2020-06-13 07:51,10,10,192.168.1.2,11.4719
2020-06-13 07:51,10,10,192.168.1.3,7.89006
2020-06-13 07:51,10,10,192.168.1.4,9.85338
2020-06-13 07:51,10,10,192.168.1.5,9.32281
2020-06-13 07:51,10,10,192.168.1.6,8.51007
2020-06-13 07:51,10,10,192.168.1.7,8.65022
2020-06-13 07:51,10,10,192.168.1.8,9.29099
2020-06-13 07:51,10,10,192.168.1.9,8.82493
2020-06-13 07:51,10,10,192.168.1.10,7.36803
